Date,Revenue,Date_Q
2011-06-30,13032.0,2011-Q2
2011-09-30,14233.0,2011-Q3
2011-12-31,13887.0,2011-Q4
2012-03-31,12906.0,2012-Q1
2012-06-30,13501.0,2012-Q2
2012-09-30,13457.0,2012-Q3
2012-12-31,13477.0,2012-Q4
2013-03-31,12580.0,2013-Q1
2013-06-30,12811.0,2013-Q2
2013-09-30,13483.0,2013-Q3
2013-12-31,13834.0,2013-Q4
2014-03-31,12764.0,2014-Q1
2014-06-30,13831.0,2014-Q2
2014-09-30,14554.0,2014-Q3
2014-12-31,14721.0,2014-Q4
2015-03-31,12781.0,2015-Q1
2015-06-30,13195.0,2015-Q2
2015-09-30,14465.0,2015-Q3
2015-12-31,14914.0,2015-Q4
2016-03-31,13702.0,2016-Q1
2016-06-30,13533.0,2016-Q2
2016-09-30,15778.0,2016-Q3
2016-12-31,16374.0,2016-Q4
2017-03-31,14796.0,2017-Q1
2017-06-30,14763.0,2017-Q2
2017-09-30,16149.0,2017-Q3
2017-12-31,17053.0,2017-Q4
2018-03-31,16066.0,2018-Q1
2018-06-30,16962.0,2018-Q2
2018-09-30,19163.0,2018-Q3
2018-12-31,18657.0,2018-Q4
2019-03-31,16061.0,2019-Q1
2019-06-30,16505.0,2019-Q2
2019-09-30,19190.0,2019-Q3
2019-12-31,20209.0,2019-Q4
2020-03-31,19828.0,2020-Q1
2020-06-30,19728.0,2020-Q2
2020-09-30,18333.0,2020-Q3
2020-12-31,19978.0,2020-Q4
2021-03-31,19673.0,2021-Q1
2021-06-30,19631.0,2021-Q2
2021-09-30,19192.0,2021-Q3
2021-12-31,20528.0,2021-Q4
2022-03-31,18353.0,2022-Q1
2022-06-30,15321.0,2022-Q2
2022-09-30,15338.0,2022-Q3
2022-12-31,14042.0,2022-Q4
2023-03-31,11715.0,2023-Q1
2023-06-30,12949.0,2023-Q2
2023-09-30,14158.0,2023-Q3
2023-12-31,15406.0,2023-Q4
2024-03-31,12724.0,2024-Q1
2024-06-30,12833.0,2024-Q2
2024-09-30,13284.0,2024-Q3
2024-12-31,14260.0,2024-Q4
2025-03-31,12667.0,2025-Q1
2025-06-30,12859.0,2025-Q2
2025-09-30,13653.0,2025-Q3
2025-12-31,13674.0,2025-Q4
2026-03-31,13577.0,2026-Q1
